collection	filename	language	temp
british library	Delhi_Persian_44.xml	fa	TRUE
british library	Delhi_Persian_47.xml	fa	TRUE
british library	Delhi_Persian_52-star.xml	fa	TRUE
british library	Delhi_Persian_54-star.xml	fa	TRUE
british library	Delhi_Persian_60.xml	fa	TRUE
british library	Delhi_Persian_639.xml	fa	TRUE
british library	Delhi_Persian_8.xml	fa	TRUE
british library	Delhi_Persian_84A.xml	fa	TRUE
british library	Delhi_Persian_91-star.xml	fa	TRUE
british library	Delhi_Persian_91A.xml	fa	TRUE
british library	Delhi_Persian_982.xml	fa	TRUE
british library	IO_Islamic_4298.xml	fa	TRUE
british library	IO_Islamic_4568.xml	fa	TRUE
british library	IO_Islamic_4594.xml	fa	TRUE
british library	IO_Islamic_4614.xml	fa	TRUE
british library	IO_Islamic_4615.xml	fa	TRUE
british library	IO_Islamic_4617.xml	fa	TRUE
british library	IO_Islamic_4621.xml	fa	TRUE
british library	IO_Islamic_4622.xml	fa	TRUE
british library	IO_Islamic_4623.xml	fa	TRUE
british library	IO_Islamic_4625.xml	fa	TRUE
british library	IO_Islamic_4626.xml	fa	TRUE
british library	IO_Islamic_4627.xml	fa	TRUE
british library	IO_Islamic_4661.xml	fa	TRUE
british library	IO_Islamic_4678A.xml	fa	TRUE
british library	IO_Islamic_4679.xml	fa	TRUE
british library	IO_Islamic_4680.xml	fa	TRUE
british library	IO_Islamic_4712.xml	fa	TRUE
british library	IO_Islamic_4714.xml	fa	TRUE
british library	IO_Islamic_4720.10.xml	fa	TRUE
british library	IO_Islamic_4720.11.xml	fa	TRUE
british library	IO_Islamic_4720.12.xml	fa	TRUE
british library	IO_Islamic_4720.13.xml	fa	TRUE
british library	IO_Islamic_4720.14.xml	fa	TRUE
british library	IO_Islamic_4720.15.xml	fa	TRUE
british library	IO_Islamic_4720.16.xml	fa	TRUE
british library	IO_Islamic_4720.17.xml	fa	TRUE
british library	IO_Islamic_4720.18.xml	fa	TRUE
british library	IO_Islamic_4720.19.xml	fa	TRUE
british library	IO_Islamic_4720.2.xml	fa	TRUE
british library	IO_Islamic_4720.20.xml	fa	TRUE
british library	IO_Islamic_4720.21.xml	fa	TRUE
british library	IO_Islamic_4720.3.xml	fa	TRUE
british library	IO_Islamic_4720.4.xml	fa	TRUE
british library	IO_Islamic_4720.5.xml	fa	TRUE
british library	IO_Islamic_4720.6.xml	fa	TRUE
british library	IO_Islamic_4720.7.xml	fa	TRUE
british library	IO_Islamic_4720.8.xml	fa	TRUE
british library	IO_Islamic_4720.9.xml	fa	TRUE
british library	IO_Islamic_4722.xml	fa	TRUE
british library	IO_Islamic_4758.xml	fa	TRUE
british library	IO_Islamic_4792.xml	fa	TRUE
british library	IO_Islamic_4793.xml	fa	TRUE
british library	IO_Islamic_4795.xml	fa	TRUE
british library	IO_Islamic_4799.xml	fa	TRUE
british library	IO_Islamic_4803.xml	fa	TRUE
british library	Or_10893.xml	fa	TRUE
british library	Or_10912.xml	fa	TRUE
british library	Or_10914.xml	fa	TRUE
british library	Or_10916.xml	fa	TRUE
british library	Or_10917.xml	fa	TRUE
british library	Or_10920.xml	fa	TRUE
british library	Or_10922.xml	fa	TRUE
british library	Or_10924.xml	fa	TRUE
british library	Or_10925.xml	fa	TRUE
british library	Or_10928.xml	fa	TRUE
british library	Or_10930.xml	fa	TRUE
british library	Or_10932.xml	fa	TRUE
british library	Or_10938.xml	fa	TRUE
british library	Or_10939.xml	fa	TRUE
british library	Or_10948.xml	fa	TRUE
british library	Or_11000.xml	fa	TRUE
british library	Or_11004.xml	fa	TRUE
british library	Or_11005.xml	fa	TRUE
british library	Or_11071.xml	fa	TRUE
british library	Or_11140.xml	fa	TRUE
british library	Or_11184.xml	fa	TRUE
british library	Or_11322.xml	fa	TRUE
british library	Or_11326.xml	fa	TRUE
british library	Or_11399.xml	fa	TRUE
british library	Or_11521.xml	fa	TRUE
british library	Or_11525.xml	fa	TRUE
british library	Or_11533.xml	fa	TRUE
british library	Or_11558.xml	fa	TRUE
